web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1707555854-1","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Waverly Black Unisex","Rp 250.000","Rp 69.000"
"1707555854-2","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Quit Work Black","Rp 250.000","Rp 69.000"
"1707555854-3","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Basic Olive White Unisex","Rp 250.000","Rp 72.900"
"1707555854-4","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Sometime Mustard","Rp 250.000","Rp 69.000"
"1707555854-5","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Sashenka Olive","Rp 250.000","Rp 72.000"
"1707555854-6","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Katsura Olive Unisex","Rp 250.000","Rp 69.000"
"1707555854-7","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Alamosa Black Unisex","Rp 250.000","Rp 69.000"
"1707555854-8","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Dansu Kurabu Cream","Rp 250.000","Rp 69.000"
"1707555854-9","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Yasukata Black Unisex","Rp 250.000","Rp 69.000"
"1707555854-10","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Number #1 Mustard","Rp 250.000","Rp 69.000"
"1707555854-11","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Nihon Tora Navy","Rp 250.000","Rp 66.000"
"1707555854-12","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Swan Olive Unisex","Rp 250.000","Rp 69.000"
"1707555854-13","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Basic Mustard White Unisex","Rp 250.000","Rp 69.000"
"1707555854-14","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Brax Emerald","Rp 250.000","Rp 66.000"
"1707555854-15","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Follow Leaders Cream","Rp 250.000","Rp 69.000"
"1707555854-16","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Big Cat Maroon","Rp 250.000","Rp 65.000"
"1707555854-17","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Stay Fresh Mustard","Rp 250.000","Rp 66.000"
"1707555854-18","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Heart Breaker Black","Rp 250.000","Rp 69.000"
"1707555854-19","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Tina Olive","Rp 250.000","Rp 69.000"
"1707555854-20","https://erigostore.co.id/collections/category-t-shirt-t-shirt","Erigo T-Shirt Sun And Fun Black","Rp 250.000","Rp 69.000"
